"sys_utterance","",160.0,166.143,6.143," これから「ゲーム」について話しましょう"
"sys_utterance","",166.143,186.406,20.263," 最近ゲームはしますか？"
"sys_utterance","",186.406,215.668,29.262," おすすめのゲームってありますか？"
"sys_utterance","",215.668,252.882,37.214," それは一体どんなゲームなんですか？"
"sys_utterance","",252.882,273.297,20.415," そのゲームのどんなところが好きなんですか？"
"sys_utterance","",273.297,281.487,8.19," なるほど。私もやってみたいです！"
"sys_utterance","",281.487,328.613,47.126," 最近注目されているゲームでは「モンスターハンターワールド」というものがあるそうですよ？"
"sys_utterance","",328.613,345.516,16.903," 2018年1月発売予定のようですよ？"
"sys_utterance","",345.516,361.915,16.399," 「モンスターハンター」をやったことがありますか？"
"sys_utterance","",361.915,386.513,24.598," 新作をやってみたいと思いますか？"
"sys_utterance","",386.513,416.831,30.318," また，ほかに注目されているゲームとしては，マリオオデッセイ，スプラトゥーン，ポケモンなどがあります．"
"sys_utterance","",416.831,435.846,19.015," これらのゲームでやってみたいものはありますか？"
"sys_utterance","",435.846,443.829,7.983," いいですね，私もやってみたいです！"
"sys_utterance","",443.829,450.533,6.704," これから「芸能人」について話しましょう！"
"sys_utterance","",450.533,457.588,7.055," 最近テレビはよく見ますか？"
"sys_utterance","",457.588,489.586,31.998," 好きな芸能人や、好きなアイドルグループはいますか？"
"sys_utterance","",489.586,516.737,27.151," その人たちは、どんな活動をしているかたがたなんですか？"
"sys_utterance","",516.737,543.655,26.918," 主に、どういったところで見ることができますか？"
"sys_utterance","",543.655,552.534,8.879," 出演しているもので、おすすめのものはありますか？"
"sys_utterance","",552.534,578.853,26.319," 出演しているもので、おすすめのものはありますか？"
"sys_utterance","",578.853,606.603,27.75," では、よく見るテレビ番組はありますか？アニメ以外でお願いします"
"sys_utterance","",606.603,633.825,27.222," それはどういった内容の番組なんですか？"
"sys_utterance","",633.825,647.256,13.431," なるほど、それは私も興味があります！一度見てみますね！"
"sys_utterance","",647.256,676.398,29.142," 最近ではテレビ番組「めちゃめちゃいけてる」の放送終了のニュースが注目されているようです．ご存じですか？"
"sys_utterance","",676.398,688.493,12.095," 来年の春に，放送を終了し，21年の番組の歴史に幕を降ろすようです．"
